Activity Date,Process Date,Settle Date,Instrument,Description,Trans Code,Quantity,Price,Amount
6/1/2026,6/1/2026,6/2/2026,NVDA,NVDA 6/26/2026 Put $200.00,STO,1,$2.00,$200.00
6/10/2026,6/10/2026,6/11/2026,NVDA,NVDA 6/26/2026 Put $200.00,BTC,1,$0.50,($50.00)
6/3/2026,6/3/2026,6/4/2026,MSFT,MSFT 7/17/2026 Put $420.00,STO,1,$3.00,$300.00
6/3/2026,6/3/2026,6/4/2026,MSFT,MSFT 7/17/2026 Put $410.00,BTO,1,$1.20,($120.00)
6/20/2026,6/20/2026,6/22/2026,MSFT,MSFT 7/17/2026 Put $420.00,BTC,1,$0.80,($80.00)
6/20/2026,6/20/2026,6/22/2026,MSFT,MSFT 7/17/2026 Put $410.00,STC,1,$0.25,$25.00
6/4/2026,6/4/2026,6/5/2026,AAPL,AAPL 7/17/2026 Put $180.00,STO,2,$1.50,$300.00
6/18/2026,6/18/2026,6/19/2026,AAPL,AAPL 7/17/2026 Put $180.00,BTC,1,$0.40,($40.00)
6/5/2026,6/5/2026,6/8/2026,AAPL,Market buy,Buy,10,$200.00,"($2,000.00)"
6/12/2026,6/12/2026,6/15/2026,AAPL,Market sell,Sell,4,$210.00,$840.00
6/15/2026,6/15/2026,6/16/2026,AAPL,Cash dividend,CDIV,,,$12.00
6/16/2026,6/16/2026,6/16/2026,,ACH deposit,ACH,,,"$5,000.00"
6/17/2026,6/17/2026,6/17/2026,,Brokerage transfer,XENT,,,$0.00
6/18/2026,6/18/2026,6/18/2026,,Interest payment,INT,,,$1.23
6/19/2026,6/19/2026,6/19/2026,,Event contract transfer,FUTSWP,,,$0.00
6/21/2026,6/21/2026,6/22/2026,TSLA,Unsupported option memo,STO,1,$1.00,$100.00
